x,pi2,E2,Delta2,M,psi_minus_x
15643,279.0,299.0714,-20.0714,-22.0,24.2832
15733,281.0,300.3446,-19.3446,-22.0,30.8876
15822,282.0,301.6022,-19.6022,-31.0,57.8837
15912,283.0,302.8725,-19.8725,-18.0,45.2652
16003,284.0,304.1553,-20.1553,-28.0,41.3624
16094,286.0,305.4367,-19.4367,-33.0,47.2038
16186,287.0,306.7306,-19.7306,-34.0,27.8665
16278,289.0,308.0230,-19.0230,-37.0,42.5061
16371,290.0,309.3279,-19.3279,-30.0,27.1179
16464,291.0,310.6313,-19.6313,-29.0,22.1710
16558,291.0,311.9471,-20.9471,-27.0,5.8652
